fecha,mes,año,patente,km inicio,km termino,km recorrido,personal_id,cargo,turno,tipo he,horas extras,monto turno,monto he,monto a pagar
21-08-23,8.0,2023.0,CCPX 23,0.0,0.0,0.0,EIR,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
28-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,EIR,tens,dia,he dia,0.0,35000.0,0.0,35000.0
12-09-23,9.0,2023.0,CCPX 23,0.0,0.0,0.0,EIR,tens,dia,he dia,0.0,35000.0,0.0,35000.0
22-07-23,7.0,2023.0,KCGH 28,0.0,0.0,0.0,EIR,tens,noche,he noche,0.0,40000.0,0.0,40000.0
13-07-23,7.0,2023.0,CCPX 23,0.0,0.0,0.0,FD,tens,dia,he dia,2.0,35000.0,5834.0,40834.0
01-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
03-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
04-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
04-08-23,8.0,2023.0,HDXD 57,0.0,0.0,0.0,FPG,tens,noche,he noche,0.0,40000.0,0.0,40000.0
05-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
08-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
09-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
12-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
14-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
15-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
16-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,FPG,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
